Fold,Accuracy,Precision,Recall (Sensitivity),F1 Score,Specificity,MCC,ROC-AUC,PR-AUC
Fold 1,0.615070093457944,0.9049826187717266,0.5751104565537555,0.7032868077442593,0.768361581920904,0.2782169982522017,0.7450783388665618,0.9192352553524997
Fold 2,0.6101231190150479,0.8885832187070152,0.5691629955947136,0.6938775510204082,0.7522935779816514,0.26790649548151746,0.7262175160651498,0.9071799442294302
Fold 3,0.62348401323043,0.8932346723044398,0.5921513665031535,0.7121786767804467,0.7390180878552972,0.271589084287261,0.7178120739014466,0.9052642139791017
Fold 4,0.6133004926108374,0.8975609756097561,0.575,0.700952380952381,0.7558139534883721,0.2703541715050675,0.7245683139534883,0.9081122543736402
Fold 5,0.6531049250535332,0.9126594700686947,0.6245802552048355,0.7416267942583732,0.7651715039577837,0.31478505178331256,0.768717295346171,0.927866986261007
