3552_reviewed	Nucleus
4692_reviewed	Perikaryon. Nucleus. Note=Neural perikarya, translocates to the nucleus of postmitotic neurons and interacts with the nuclear matrix
3717_reviewed	Endomembrane system
10419_reviewed	Cytoplasm
3875_reviewed	Nucleus matrix
10049_reviewed	Cytoplasm, perinuclear region
4000_reviewed	Nucleus lamina
4001_reviewed	Nucleus lamina
6720_reviewed	[Sterol regulatory element-binding protein 1]: Endoplasmic reticulum membrane
26502_reviewed	Nucleus
596_reviewed	Mitochondrion outer membrane
663_reviewed	Cytoplasm. Cytoplasm, perinuclear region. Note=Localizes to the nuclear envelope region and to other cytoplasmic structures
7159_reviewed	Cytoplasm, perinuclear region. Nucleus. Note=Predominantly found in the perinuclear region. Some small fraction is nuclear. Sequester in the cytoplasm on overexpression of DDX42
57142_reviewed	[Isoform A]: Endoplasmic reticulum membrane
8678_reviewed	Cytoplasm
4790_reviewed	[Nuclear factor NF-kappa-B p105 subunit]: Cytoplasm
4066_reviewed	Nucleus
8631_reviewed	Cytoplasm
5788_reviewed	Cell membrane
2547_reviewed	Nucleus
4689_reviewed	Cytoplasm, cytosol
7520_reviewed	Nucleus
4361_reviewed	Nucleus
23468_reviewed	Nucleus
51588_reviewed	Nucleus, PML body
51176_reviewed	Nucleus
4286_reviewed	Nucleus
4904_reviewed	Cytoplasm
8683_reviewed	Nucleus
55729_reviewed	Nucleus
4152_reviewed	Nucleus
10036_reviewed	Nucleus
10401_reviewed	Cytoplasm
23598_reviewed	Nucleus
4176_reviewed	Nucleus
23595_reviewed	Nucleus
4804_reviewed	Cell membrane
5567_reviewed	Cytoplasm
1326_reviewed	Cytoplasm
5970_reviewed	Nucleus
64320_reviewed	Cytoplasm
10848_reviewed	Cytoplasm
3178_reviewed	Nucleus
2237_reviewed	[Isoform 1]: Nucleus, nucleolus. Nucleus, nucleoplasm. Note=Resides mostly in the nucleoli and relocalizes to the nucleoplasm upon DNA damage
4839_reviewed	Nucleus, nucleolus
10445_reviewed	Nucleus
2113_reviewed	Nucleus
208_reviewed	Cytoplasm
26060_reviewed	Early endosome membrane
2114_reviewed	Nucleus
8558_reviewed	Cytoplasm, cytoskeleton, cilium basal body
22941_reviewed	Apical cell membrane
2017_reviewed	Cytoplasm, cytoskeleton
7456_reviewed	Cytoplasmic vesicle
22938_reviewed	Nucleus
6497_reviewed	Nucleus
4893_reviewed	Cell membrane
5910_reviewed	Cytoplasm, cytosol
4233_reviewed	Membrane; Single-pass type I membrane protein
2146_reviewed	Nucleus
5966_reviewed	Nucleus
5531_reviewed	Cytoplasm. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome
4985_reviewed	Cell membrane
9737_reviewed	Cytoplasm
4641_reviewed	Cytoplasm
867_reviewed	Cytoplasm. Cell membrane
387_reviewed	Cell membrane
5079_reviewed	Nucleus
7091_reviewed	Nucleus
9784_reviewed	Cytoplasm
6403_reviewed	Cell membrane
5311_reviewed	Cell projection, cilium membrane
7220_reviewed	Cell membrane
3739_reviewed	Cell membrane
1739_reviewed	Cell membrane
3364_reviewed	Nucleus
5573_reviewed	Cell membrane
5575_reviewed	Cell membrane
8165_reviewed	Mitochondrion outer membrane
2241_reviewed	Cytoplasm. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection. Cell junction. Membrane; Peripheral membrane protein; Cytoplasmic side. Nucleus. Cytoplasm, cell cortex. Note=Associated with the chromatin. Detected on microtubules in polarized and motile vascular endothelial cells. Colocalizes with F-actin at the cell cortex. Colocalizes with PECAM1 and CTNND1 at nascent cell-cell contacts
7110_reviewed	Cytoplasm. Nucleus. Golgi apparatus membrane. Note=Concentrated at the budding structures localized at the tips of cisternae
5594_reviewed	Cytoplasm, cytoskeleton, spindle
4751_reviewed	Chromosome, centromere, kinetochore
22927_reviewed	Nucleus
10399_reviewed	Cell membrane
367_reviewed	Nucleus
3689_reviewed	Cell membrane
5170_reviewed	Cytoplasm. Nucleus. Cell membrane; Peripheral membrane protein. Cell junction, focal adhesion. Note=Tyrosine phosphorylation seems to occur only at the cell membrane. Translocates to the cell membrane following insulin stimulation by a mechanism that involves binding to GRB14 and INSR. SRC and HSP90 promote its localization to the cell membrane. Its nuclear localization is dependent on its association with PTPN6 and its phosphorylation at Ser-396. Restricted to the nucleus in neuronal cells while in non-neuronal cells it is found in the cytoplasm. The Ser-241 phosphorylated form is distributed along the perinuclear region in neuronal cells while in non-neuronal cells it is found in both the nucleus and the cytoplasm. IGF1 transiently increases phosphorylation at Ser-241 of neuronal PDPK1, resulting in its translocation to other cellular compartments. The tyrosine-phosphorylated form colocalizes with PTK2B in focal adhesions after angiotensin II stimulation
5590_reviewed	Cytoplasm
23286_reviewed	Cytoplasm, perinuclear region
23607_reviewed	Cytoplasm, cytoskeleton
5867_reviewed	Membrane; Peripheral membrane protein
9135_reviewed	Cytoplasm. Early endosome. Recycling endosome. Cytoplasmic vesicle
5868_reviewed	Cell membrane
79890_reviewed	Cytoplasm
5869_reviewed	Cell membrane
5906_reviewed	Cell membrane
5908_reviewed	Cell membrane
5888_reviewed	Nucleus
10635_reviewed	Chromosome
11144_reviewed	Nucleus
26959_reviewed	Nucleus
10131_reviewed	Mitochondrion
26574_reviewed	Nucleus, nucleolus
9984_reviewed	[Isoform 1]: Nucleus speckle. Nucleus, nucleoplasm. Nucleus matrix. Cytoplasm. Note=Can shuttle between the nucleus and cytoplasm. Nuclear localization is required for induction of apoptotic cell death. Translocates to the cytoplasm during the early phase of apoptosis execution
6256_reviewed	Nucleus
10902_reviewed	Nucleus
6886_reviewed	Nucleus
4005_reviewed	Nucleus
9267_reviewed	Cell membrane
10139_reviewed	Golgi apparatus
6626_reviewed	Nucleus
6662_reviewed	Nucleus
2516_reviewed	Nucleus
8204_reviewed	Nucleus
1191_reviewed	[Isoform 1]: Secreted
7048_reviewed	Cell membrane
939_reviewed	Cell membrane
10572_reviewed	Cytoplasm
11216_reviewed	Mitochondrion
322_reviewed	Cell membrane
7024_reviewed	Nucleus
10153_reviewed	Nucleus
4801_reviewed	Nucleus
1869_reviewed	Nucleus
4914_reviewed	Cell membrane
25_reviewed	Cytoplasm, cytoskeleton. Nucleus. Mitochondrion
3265_reviewed	Cell membrane
84941_reviewed	Cytoplasm. Nucleus
2242_reviewed	Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle. Golgi apparatus. Cell junction, focal adhesion. Note=Distributed throughout the cytosol when the kinase is not activated. Association with microtubules requires activation of the kinase activity. Shuttles between focal adhesions and cell-cell contacts in epithelial cells. Recruited to the lateral cell membrane in polarized epithelial cells by interaction with phosphorylated EZR. Detected at tubular membrane structures in the cytoplasm and at the cell periphery
3845_reviewed	Cell membrane
6714_reviewed	Cell membrane
2048_reviewed	Cell membrane; Single-pass type I membrane protein. Cell projection, axon
7046_reviewed	Cell junction, tight junction
7128_reviewed	Cytoplasm. Nucleus. Lysosome
8887_reviewed	Cytoplasm
7157_reviewed	Cytoplasm, cytoskeleton, microtubule organizing center, centrosome
51741_reviewed	Cytoplasm
8556_reviewed	Nucleus
7132_reviewed	Cell membrane
4921_reviewed	Cell membrane
6464_reviewed	Cytoplasm. Cell junction, focal adhesion
999_reviewed	Cell junction, adherens junction
1500_reviewed	Cell junction, adherens junction
79872_reviewed	Nucleus speckle
2313_reviewed	Nucleus
2623_reviewed	Nucleus
7428_reviewed	[Isoform 1]: Cytoplasm
7411_reviewed	Cytoplasm. Nucleus. Note=In complex with VHL can translocate to the nucleus
79960_reviewed	Nucleus
7515_reviewed	Nucleus
3980_reviewed	[Isoform 1]: Mitochondrion
11284_reviewed	Nucleus
7572_reviewed	Nucleus
7727_reviewed	Nucleus
