Fold,Accuracy,Precision,Recall (Sensitivity),F1 Score,Specificity,MCC,ROC-AUC,PR-AUC
Fold 1,0.6729411764705883,0.896969696969697,0.6616989567809239,0.7615780445969125,0.7150837988826816,0.3115028451255395,0.7637812320475568,0.9207918823862993
Fold 2,0.6639118457300276,0.8888888888888888,0.6501766784452296,0.7510204081632653,0.7125,0.3036759291523506,0.7444015017667844,0.9119267206181736
Fold 3,0.6719128329297821,0.873767258382643,0.6815384615384615,0.7657735522904062,0.6363636363636364,0.2673665579066775,0.7303671328671328,0.9102983090067162
Fold 4,0.68188302425107,0.9025,0.6623853211009174,0.764021164021164,0.75,0.34653771305697456,0.791554928252176,0.9332069016573177
Fold 5,0.5734966592427617,0.9031531531531531,0.5411605937921727,0.6767932489451477,0.7261146496815286,0.20304778327474834,0.6977659729922554,0.9190429394364399
